timestamp, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], clocks.current.sm [MHz], power.draw [W]
2026/04/08 09:15:55.759, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:55.866, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:55.966, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:56.067, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:56.167, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:56.267, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:56.367, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:56.467, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:56.568, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:56.668, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:56.768, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:56.868, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:56.968, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:57.069, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.95 W
2026/04/08 09:15:57.169, P8, 0 %, 0 %, 1 MiB, 210 MHz, 24.01 W
2026/04/08 09:15:57.269, P8, 0 %, 0 %, 1 MiB, 210 MHz, 24.01 W
2026/04/08 09:15:57.369, P8, 0 %, 0 %, 1 MiB, 210 MHz, 24.01 W
2026/04/08 09:15:57.469, P8, 0 %, 0 %, 1 MiB, 210 MHz, 24.01 W
2026/04/08 09:15:57.570, P8, 0 %, 0 %, 1 MiB, 210 MHz, 24.01 W
2026/04/08 09:15:57.670, P8, 0 %, 0 %, 1 MiB, 210 MHz, 24.01 W
2026/04/08 09:15:57.770, P8, 0 %, 0 %, 1 MiB, 210 MHz, 24.01 W
2026/04/08 09:15:57.870, P8, 0 %, 0 %, 1 MiB, 210 MHz, 24.01 W
2026/04/08 09:15:57.970, P8, 0 %, 0 %, 1 MiB, 210 MHz, 24.01 W
2026/04/08 09:15:58.071, P8, 0 %, 0 %, 1 MiB, 210 MHz, 24.01 W
2026/04/08 09:15:58.171, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.99 W
2026/04/08 09:15:58.271, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.99 W
2026/04/08 09:15:58.371, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.99 W
2026/04/08 09:15:58.471, P8, 0 %, 0 %, 1 MiB, 210 MHz, 23.99 W
